label,text
Not Spam,Lunch at 1 pm tomorrow.
Not harmful,I enjoyed the movie talk later.
Not harmful,Meeting went well all good.
Not Spam,Lunch at 1 pm thanks.
Spam,Cheap meds available. Call 0906 123 4567.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Not Spam,Hey are we still meeting at 3 at the cafe.
Not Spam,Lunch at 1 pm today.
Harmful,Payment failed update billing information. This is an automated alert.
Not Spam,Project status looks good before noon.
Harmful,Payment failed update billing information. Do not share this code.
Harmful,Payment failed update billing information. Failure to act may lead to suspension.
Not harmful,Coffee was great for your info.
Not Spam,Can you send the notes in room 204.
Harmful,Authentication issue follow this link to resolve. Confirm within 24 hours.
Not harmful,The weather is nice today okay.
Spam,Limited time offer. Terms apply.
Not harmful,Coffee was great take care.
Not harmful,Remember to water the plants all good.
Harmful,Payment failed update billing information. Do not share this code.
Harmful,Password expired immediately verify your account. http://example-security-check.com.
Not Spam,Where did you park when you're free.
Harmful,Invoice attached open to view. Confirm within 24 hours.
Not harmful,Remember to water the plants talk later.
Spam,WIN a prize now. Act fast.
Not Spam,Hey are we still meeting at 3 when you're free.
Not harmful,Dinner was delicious just a note.
Not Spam,Lunch at 1 pm today.
Not Spam,On my way now when you're free.
Not Spam,Can you send the notes at the library.
Harmful,Password expired immediately verify your account. This is an automated alert.
Spam,Exclusive offer just for you. No purchase necessary.
Not Spam,Let’s catch up tomorrow please.
Harmful,Authentication issue follow this link to resolve. Unusual activity detected.
Spam,Congratulations you won. Only today.
Not Spam,Where did you park at the library.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Harmful,Payment failed update billing information. Urgent response needed.
Not harmful,The weather is nice today no rush.
Not Spam,Please review the document thanks.
Not harmful,The weather is nice today all good.
Not Spam,Lunch at 1 pm after work.
Not Spam,Can you send the notes in room 204.
Not harmful,I enjoyed the movie just a note.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Harmful,Tax refund available confirm bank details. We will disable your account.
Spam,URGENT call now. Act fast.
Not Spam,Let’s catch up tomorrow thanks.
Not harmful,I enjoyed the movie no rush.
Spam,Exclusive offer just for you. Click http://bit.ly/win.
Not Spam,Family dinner tonight before noon.
Not harmful,Coffee was great for your info.
Not Spam,Project status looks good tomorrow.
Not harmful,Let's schedule a game night see you soon.
Not Spam,Let’s catch up tomorrow tomorrow.
Spam,Claim your FREE reward. Terms apply.
Not Spam,Project status looks good tomorrow.
Not harmful,Coffee was great take care.
Spam,WIN a prize now. Click http://bit.ly/win.
Not Spam,Hey are we still meeting at 3 before noon.
Spam,URGENT call now. Call 0906 123 4567.
Not harmful,I enjoyed the movie just a note.
Spam,Exclusive offer just for you. Reply STOP to opt out.
Not Spam,Thanks for your help after work.
Not Spam,Where did you park today.
Not harmful,Meeting went well all good.
Spam,You are a lucky winner. Reply STOP to opt out.
Spam,Claim your FREE reward. Terms apply.
Harmful,Unrecognized sign in attempt confirm details. Unusual activity detected.
Spam,URGENT call now. Call 0906 123 4567.
Spam,URGENT call now. Call 0906 123 4567.
Spam,Exclusive offer just for you. Limited stock.
Not harmful,Meeting went well for your info.
Not Spam,Family dinner tonight in room 204.
Spam,Claim your FREE reward. No purchase necessary.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Spam,You have been selected. Reply STOP to opt out.
Not harmful,The weather is nice today talk later.
Not Spam,Lunch at 1 pm thanks.
Spam,You are a lucky winner. Click http://bit.ly/win.
Not Spam,On my way now tomorrow.
Harmful,Authentication issue follow this link to resolve. We will disable your account.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Harmful,Tax refund available confirm bank details. Failure to act may lead to suspension.
Not harmful,Coffee was great okay.
Not Spam,Lunch at 1 pm before noon.
Spam,Exclusive offer just for you. Terms apply.
Not Spam,Where did you park thanks.
Not harmful,Let's schedule a game night no action needed.
Harmful,Authentication issue follow this link to resolve. http://example-security-check.com.
Harmful,Security alert action required to keep access. Urgent response needed.
Spam,Claim your FREE reward. Text WIN to 80055.
Harmful,Password expired immediately verify your account. Urgent response needed.
Not Spam,Let’s catch up tomorrow thanks.
Spam,URGENT call now. Call 0906 123 4567.
Not Spam,Please review the document tomorrow.
Spam,You are a lucky winner. Call 0906 123 4567.
Not Spam,Let’s catch up tomorrow at the cafe.
Not Spam,Can you send the notes please.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Spam,URGENT call now. No purchase necessary.
Harmful,Security alert action required to keep access. Do not share this code.
Harmful,Tax refund available confirm bank details. Confirm within 24 hours.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not harmful,Coffee was great thanks.
Not harmful,Your package should arrive tomorrow just a note.
Harmful,Suspicious activity detected verify now. We will disable your account.
Harmful,Tax refund available confirm bank details. Do not share this code.
Not harmful,I enjoyed the movie thanks.
Not Spam,Let’s catch up tomorrow when you're free.
Harmful,Delivery failed reschedule by confirming your info. We will disable your account.
Not Spam,Please review the document tomorrow.
Not harmful,Remember to water the plants thanks.
Not harmful,Meeting went well talk later.
Spam,URGENT call now. 100% guaranteed.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Harmful,Tax refund available confirm bank details. Do not share this code.
Harmful,Authentication issue follow this link to resolve. Open the attachment to proceed.
Harmful,Payment failed update billing information. This is an automated alert.
Not Spam,Thanks for your help today.
Not Spam,Thanks for your help before noon.
Not Spam,Project status looks good before noon.
Spam,You are a lucky winner. Act fast.
Harmful,Payment failed update billing information. This is an automated alert.
Not harmful,I enjoyed the movie see you soon.
Not harmful,I enjoyed the movie see you soon.
Not harmful,Meeting went well thanks.
Spam,URGENT call now. Reply STOP to opt out.
Spam,Limited time offer. 100% guaranteed.
Spam,Exclusive offer just for you. Click http://bit.ly/win.
Spam,Limited time offer. Reply STOP to opt out.
Not harmful,Remember to water the plants all good.
Harmful,Tax refund available confirm bank details. Urgent response needed.
Spam,WIN a prize now. Limited stock.
Harmful,Unrecognized sign in attempt confirm details. Urgent response needed.
Not harmful,Your package should arrive tomorrow no action needed.
Not Spam,Family dinner tonight tomorrow.
Not Spam,Can you send the notes tomorrow.
Harmful,Authentication issue follow this link to resolve. Unusual activity detected.
Not Spam,Where did you park thanks.
Not Spam,Family dinner tonight at the library.
Not harmful,Coffee was great all good.
Spam,WIN a prize now. Terms apply.
Not Spam,Where did you park at the cafe.
Not Spam,Let’s catch up tomorrow when you're free.
Spam,Limited time offer. Click http://bit.ly/win.
Not harmful,Dinner was delicious talk later.
Not Spam,Can you send the notes after work.
Not Spam,Let’s catch up tomorrow today.
Harmful,Password expired immediately verify your account. We will disable your account.
Spam,Congratulations you won. 100% guaranteed.
Not Spam,Let’s catch up tomorrow in room 204.
Not harmful,This is a reminder to back up your files take care.
Spam,Limited time offer. Click http://bit.ly/win.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Not harmful,Meeting went well just a note.
Not harmful,I enjoyed the movie see you soon.
Not Spam,Let’s catch up tomorrow when you're free.
Spam,Exclusive offer just for you. Reply STOP to opt out.
Harmful,Invoice attached open to view. http://example-security-check.com.
Not Spam,Please review the document tomorrow.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Spam,You have been selected. Call 0906 123 4567.
Not harmful,This is a reminder to back up your files just a note.
Not Spam,Project status looks good at the library.
Not Spam,Family dinner tonight today.
Harmful,Payment failed update billing information. We will disable your account.
Not Spam,Family dinner tonight at the cafe.
Not Spam,Where did you park tomorrow.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Not harmful,The weather is nice today all good.
Harmful,Security alert action required to keep access. This is an automated alert.
Spam,WIN a prize now. No purchase necessary.
Not harmful,This is a reminder to back up your files no action needed.
Not Spam,Let’s catch up tomorrow tomorrow.
Spam,You are a lucky winner. Call 0906 123 4567.
Not Spam,Project status looks good thanks.
Not Spam,Please review the document after work.
Not harmful,The file has been saved talk later.
Harmful,Security alert action required to keep access. This is an automated alert.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Not Spam,Please review the document thanks.
Spam,Congratulations you won. No purchase necessary.
Harmful,Payment failed update billing information. Unusual activity detected.
Spam,WIN a prize now. No purchase necessary.
Spam,Cheap meds available. Reply STOP to opt out.
Not Spam,Please review the document before noon.
Spam,You are a lucky winner. Only today.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Spam,You have been selected. Reply STOP to opt out.
Spam,Cheap meds available. Click http://bit.ly/win.
Spam,WIN a prize now. Text WIN to 80055.
Harmful,Your account was locked click the link to unlock. Urgent response needed.
Harmful,Delivery failed reschedule by confirming your info. This is an automated alert.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Not harmful,This is a reminder to back up your files see you soon.
Not harmful,Remember to water the plants no rush.
Not harmful,Meeting went well okay.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Not Spam,Project status looks good thanks.
Spam,Claim your FREE reward. Limited stock.
Spam,Limited time offer. Limited stock.
Harmful,Payment failed update billing information. We will disable your account.
Harmful,Password expired immediately verify your account. Do not share this code.
Not Spam,Hey are we still meeting at 3 please.
Spam,Congratulations you won. Click http://bit.ly/win.
Spam,Congratulations you won. No purchase necessary.
Not harmful,Let's schedule a game night just a note.
Spam,Limited time offer. Limited stock.
Spam,Congratulations you won. Terms apply.
Not harmful,Remember to water the plants just a note.
Harmful,Unrecognized sign in attempt confirm details. This is an automated alert.
Spam,You have been selected. Text WIN to 80055.
Not harmful,I enjoyed the movie for your info.
Not Spam,Project status looks good please.
Not harmful,Coffee was great see you soon.
Not harmful,This is a reminder to back up your files all good.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Harmful,Tax refund available confirm bank details. Open the attachment to proceed.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Not harmful,Let's schedule a game night see you soon.
Not harmful,The weather is nice today no rush.
Harmful,Payment failed update billing information. Urgent response needed.
Not harmful,Remember to water the plants talk later.
Spam,Act now to claim. 100% guaranteed.
Not harmful,The file has been saved talk later.
Spam,Cheap meds available. Only today.
Spam,Claim your FREE reward. No purchase necessary.
Harmful,Suspicious activity detected verify now. Confirm within 24 hours.
Harmful,Password expired immediately verify your account. http://example-security-check.com.
Spam,Limited time offer. Only today.
Not harmful,Your package should arrive tomorrow just a note.
Not harmful,Remember to water the plants all good.
Not Spam,Hey are we still meeting at 3 after work.
Not Spam,Hey are we still meeting at 3 thanks.
Not Spam,Let’s catch up tomorrow today.
Not harmful,Remember to water the plants thanks.
Not harmful,Let's schedule a game night all good.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Not Spam,Project status looks good thanks.
Not harmful,Remember to water the plants just a note.
Not harmful,Meeting went well all good.
Not Spam,Family dinner tonight at the library.
Spam,Congratulations you won. Terms apply.
Harmful,Password expired immediately verify your account. We will disable your account.
Not harmful,Dinner was delicious for your info.
Spam,WIN a prize now. Act fast.
Not Spam,Thanks for your help today.
Spam,You are a lucky winner. 100% guaranteed.
Not harmful,The file has been saved take care.
Not harmful,Meeting went well just a note.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Not Spam,Thanks for your help before noon.
Not harmful,I enjoyed the movie for your info.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Not Spam,On my way now please.
Not harmful,This is a reminder to back up your files take care.
Spam,Congratulations you won. Act fast.
Not harmful,Let's schedule a game night take care.
Not Spam,Please review the document after work.
Not harmful,The weather is nice today thanks.
Not harmful,Let's schedule a game night take care.
Not Spam,On my way now thanks.
Not harmful,Your package should arrive tomorrow all good.
Not Spam,Lunch at 1 pm please.
Not harmful,Dinner was delicious no rush.
Spam,Claim your FREE reward. Text WIN to 80055.
Not Spam,Project status looks good at the library.
Not Spam,Please review the document before noon.
Not Spam,On my way now at the library.
Spam,Congratulations you won. Text WIN to 80055.
Not harmful,The file has been saved no action needed.
Not harmful,This is a reminder to back up your files thanks.
Spam,Claim your FREE reward. Terms apply.
Spam,WIN a prize now. Only today.
Spam,You are a lucky winner. No purchase necessary.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Spam,URGENT call now. Text WIN to 80055.
Not Spam,Please review the document in room 204.
Spam,Cheap meds available. Call 0906 123 4567.
Harmful,Authentication issue follow this link to resolve. Open the attachment to proceed.
Harmful,Your account was locked click the link to unlock. Open the attachment to proceed.
Not harmful,Meeting went well take care.
Spam,Claim your FREE reward. Text WIN to 80055.
Harmful,Your account was locked click the link to unlock. http://short.co/verify.
Harmful,Unrecognized sign in attempt confirm details. Confirm within 24 hours.
Spam,Claim your FREE reward. Only today.
Harmful,Delivery failed reschedule by confirming your info. We will disable your account.
Harmful,Payment failed update billing information. Do not share this code.
Harmful,Authentication issue follow this link to resolve. Do not share this code.
Spam,Act now to claim. Call 0906 123 4567.
Not Spam,Can you send the notes before noon.
Spam,Act now to claim. Call 0906 123 4567.
Not harmful,Your package should arrive tomorrow thanks.
Spam,WIN a prize now. Text WIN to 80055.
Not harmful,Remember to water the plants talk later.
Not Spam,Where did you park after work.
Not harmful,The weather is nice today talk later.
Not Spam,Lunch at 1 pm before noon.
Harmful,Tax refund available confirm bank details. Failure to act may lead to suspension.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Not harmful,This is a reminder to back up your files all good.
Not Spam,Please review the document in room 204.
Harmful,Unrecognized sign in attempt confirm details. Do not share this code.
Harmful,Authentication issue follow this link to resolve. http://short.co/verify.
Spam,WIN a prize now. Act fast.
Harmful,Delivery failed reschedule by confirming your info. Open the attachment to proceed.
Not Spam,Family dinner tonight after work.
Not Spam,Project status looks good today.
Spam,URGENT call now. Click http://bit.ly/win.
Not Spam,Lunch at 1 pm when you're free.
Not Spam,Family dinner tonight after work.
Not harmful,I enjoyed the movie see you soon.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not harmful,The weather is nice today all good.
Not Spam,Project status looks good please.
Spam,Congratulations you won. Act fast.
Harmful,Your account was locked click the link to unlock. http://example-security-check.com.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not harmful,This is a reminder to back up your files take care.
Not harmful,Meeting went well take care.
Not harmful,Remember to water the plants all good.
Spam,URGENT call now. Terms apply.
Not harmful,This is a reminder to back up your files no action needed.
Harmful,Payment failed update billing information. We will disable your account.
Harmful,Unrecognized sign in attempt confirm details. http://example-security-check.com.
Not harmful,Meeting went well talk later.
Harmful,Security alert action required to keep access. http://example-security-check.com.
Not harmful,Remember to water the plants no action needed.
Spam,Act now to claim. Terms apply.
Not Spam,Project status looks good at the library.
Spam,Cheap meds available. Reply STOP to opt out.
Spam,Cheap meds available. No purchase necessary.
Not harmful,I enjoyed the movie see you soon.
Harmful,Password expired immediately verify your account. http://example-security-check.com.
Harmful,Payment failed update billing information. We will disable your account.
Spam,Congratulations you won. Only today.
Harmful,Tax refund available confirm bank details. Unusual activity detected.
Spam,WIN a prize now. Text WIN to 80055.
Spam,Exclusive offer just for you. 100% guaranteed.
Not Spam,Lunch at 1 pm after work.
Not harmful,Meeting went well just a note.
Not Spam,Project status looks good after work.
Not harmful,Your package should arrive tomorrow all good.
Not harmful,I enjoyed the movie take care.
Not harmful,Coffee was great take care.
Not harmful,The file has been saved talk later.
Not harmful,I enjoyed the movie take care.
Not Spam,Project status looks good when you're free.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Spam,WIN a prize now. Reply STOP to opt out.
Not harmful,Your package should arrive tomorrow see you soon.
Spam,Act now to claim. Terms apply.
Not Spam,Let’s catch up tomorrow please.
Harmful,Your account was locked click the link to unlock. http://example-security-check.com.
Spam,Act now to claim. Limited stock.
Not harmful,Let's schedule a game night talk later.
Harmful,Invoice attached open to view. We will disable your account.
Spam,Claim your FREE reward. Terms apply.
Not harmful,I enjoyed the movie okay.
Not harmful,The weather is nice today all good.
Not harmful,Meeting went well thanks.
Not harmful,This is a reminder to back up your files for your info.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Spam,Exclusive offer just for you. Call 0906 123 4567.
Spam,Limited time offer. Reply STOP to opt out.
Not harmful,Coffee was great take care.
Not Spam,Where did you park when you're free.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Spam,You are a lucky winner. Terms apply.
Spam,WIN a prize now. Text WIN to 80055.
Not Spam,Thanks for your help please.
Not Spam,On my way now when you're free.
Harmful,Delivery failed reschedule by confirming your info. Unusual activity detected.
Spam,Act now to claim. Limited stock.
Not harmful,This is a reminder to back up your files all good.
Not Spam,Project status looks good at the cafe.
Not Spam,Project status looks good in room 204.
Not Spam,Hey are we still meeting at 3 thanks.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Not harmful,Your package should arrive tomorrow thanks.
Not Spam,Please review the document tomorrow.
Harmful,Suspicious activity detected verify now. Urgent response needed.
Harmful,Delivery failed reschedule by confirming your info. Failure to act may lead to suspension.
Not harmful,The file has been saved take care.
Not harmful,This is a reminder to back up your files see you soon.
Not harmful,Dinner was delicious okay.
Spam,URGENT call now. Call 0906 123 4567.
Spam,Exclusive offer just for you. Act fast.
Spam,Exclusive offer just for you. Reply STOP to opt out.
Spam,WIN a prize now. Click http://bit.ly/win.
Not harmful,Dinner was delicious take care.
Harmful,Unrecognized sign in attempt confirm details. Urgent response needed.
Not Spam,Lunch at 1 pm before noon.
Not Spam,Can you send the notes before noon.
Harmful,Tax refund available confirm bank details. This is an automated alert.
Not harmful,Meeting went well all good.
Not Spam,Please review the document at the cafe.
Not harmful,Meeting went well talk later.
Not harmful,Dinner was delicious see you soon.
Spam,Limited time offer. Limited stock.
Not Spam,On my way now tomorrow.
Not Spam,On my way now in room 204.
Spam,URGENT call now. Text WIN to 80055.
Spam,Claim your FREE reward. Click http://bit.ly/win.
Not harmful,This is a reminder to back up your files no action needed.
Not Spam,Where did you park at the cafe.
Not Spam,Family dinner tonight today.
Not harmful,Your package should arrive tomorrow all good.
Spam,Exclusive offer just for you. Terms apply.
Not Spam,Please review the document tomorrow.
Not harmful,The file has been saved thanks.
Not Spam,Where did you park after work.
Spam,URGENT call now. Only today.
Spam,WIN a prize now. Reply STOP to opt out.
Harmful,Security alert action required to keep access. Do not share this code.
Spam,Claim your FREE reward. Act fast.
Spam,Claim your FREE reward. Only today.
Spam,Act now to claim. Text WIN to 80055.
Not Spam,Hey are we still meeting at 3 thanks.
Not harmful,Meeting went well talk later.
Spam,You have been selected. Act fast.
Spam,Act now to claim. Act fast.
Spam,You have been selected. Call 0906 123 4567.
Not Spam,Can you send the notes tomorrow.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Not harmful,Dinner was delicious no rush.
Spam,You have been selected. Text WIN to 80055.
Not Spam,Lunch at 1 pm in room 204.
Not harmful,The weather is nice today no rush.
Spam,URGENT call now. Reply STOP to opt out.
Not harmful,I enjoyed the movie talk later.
Spam,Limited time offer. No purchase necessary.
Not harmful,This is a reminder to back up your files thanks.
Spam,Congratulations you won. 100% guaranteed.
Harmful,Password expired immediately verify your account. Failure to act may lead to suspension.
Harmful,Password expired immediately verify your account. http://example-security-check.com.
Spam,WIN a prize now. Call 0906 123 4567.
Not Spam,Project status looks good in room 204.
Spam,You have been selected. Only today.
Not harmful,Dinner was delicious take care.
Spam,Limited time offer. Click http://bit.ly/win.
Not Spam,Lunch at 1 pm tomorrow.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Harmful,Invoice attached open to view. We will disable your account.
Not harmful,Coffee was great for your info.
Not harmful,Remember to water the plants all good.
Spam,Act now to claim. Text WIN to 80055.
Not Spam,Please review the document tomorrow.
Harmful,Payment failed update billing information. Urgent response needed.
Harmful,Authentication issue follow this link to resolve. Urgent response needed.
Harmful,Invoice attached open to view. http://example-security-check.com.
Not harmful,The weather is nice today all good.
Harmful,Your account was locked click the link to unlock. Confirm within 24 hours.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Spam,WIN a prize now. Text WIN to 80055.
Harmful,Suspicious activity detected verify now. Do not share this code.
Not Spam,Lunch at 1 pm please.
Spam,WIN a prize now. Text WIN to 80055.
Spam,Cheap meds available. 100% guaranteed.
Not Spam,Hey are we still meeting at 3 today.
Not harmful,This is a reminder to back up your files just a note.
Not harmful,The weather is nice today talk later.
Spam,You are a lucky winner. Text WIN to 80055.
Spam,Cheap meds available. Call 0906 123 4567.
Spam,Act now to claim. Act fast.
Not Spam,Lunch at 1 pm today.
Spam,Claim your FREE reward. Only today.
Harmful,Suspicious activity detected verify now. Failure to act may lead to suspension.
Not harmful,Meeting went well just a note.
Spam,Cheap meds available. Call 0906 123 4567.
Spam,Cheap meds available. Reply STOP to opt out.
Harmful,Your account was locked click the link to unlock. Failure to act may lead to suspension.
Not harmful,The file has been saved see you soon.
Harmful,Security alert action required to keep access. We will disable your account.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Spam,Cheap meds available. Call 0906 123 4567.
Harmful,Your account was locked click the link to unlock. Unusual activity detected.
Not Spam,Where did you park at the library.
Not Spam,Please review the document at the library.
Not Spam,Can you send the notes tomorrow.
Spam,Congratulations you won. Text WIN to 80055.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Spam,Claim your FREE reward. Call 0906 123 4567.
Spam,Limited time offer. Text WIN to 80055.
Spam,Exclusive offer just for you. Only today.
Spam,WIN a prize now. Terms apply.
Spam,Act now to claim. Reply STOP to opt out.
Not harmful,This is a reminder to back up your files okay.
Spam,URGENT call now. Act fast.
Spam,WIN a prize now. Reply STOP to opt out.
Not Spam,Project status looks good tomorrow.
Harmful,Your account was locked click the link to unlock. We will disable your account.
Spam,You are a lucky winner. Reply STOP to opt out.
Not harmful,The weather is nice today see you soon.
Spam,Claim your FREE reward. Terms apply.
Spam,Cheap meds available. Call 0906 123 4567.
Not Spam,Can you send the notes please.
Spam,URGENT call now. Terms apply.
