label,text
Harmful,Payment failed update billing information. Urgent response needed.
Not harmful,Let's schedule a game night no action needed.
Harmful,Payment failed update billing information. Unusual activity detected.
Not Spam,Please review the document before noon.
Harmful,Tax refund available confirm bank details. Unusual activity detected.
Spam,Exclusive offer just for you. Text WIN to 80055.
Not harmful,Meeting went well just a note.
Harmful,Your account was locked click the link to unlock. http://short.co/verify.
Not harmful,The weather is nice today talk later.
Not harmful,I enjoyed the movie no action needed.
Harmful,Suspicious activity detected verify now. Failure to act may lead to suspension.
Not Spam,Let’s catch up tomorrow before noon.
Spam,Limited time offer. Limited stock.
Not Spam,Project status looks good at the cafe.
Not Spam,Thanks for your help thanks.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Not Spam,Project status looks good tomorrow.
Harmful,Your account was locked click the link to unlock. http://example-security-check.com.
Not Spam,Where did you park today.
Spam,Cheap meds available. No purchase necessary.
Spam,Exclusive offer just for you. Limited stock.
Spam,You have been selected. Only today.
Not Spam,Project status looks good please.
Not harmful,I enjoyed the movie for your info.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Harmful,Password expired immediately verify your account. http://short.co/verify.
Harmful,Delivery failed reschedule by confirming your info. Open the attachment to proceed.
Not harmful,Coffee was great see you soon.
Not harmful,I enjoyed the movie all good.
Not Spam,Hey are we still meeting at 3 before noon.
Not Spam,Can you send the notes today.
Spam,Limited time offer. Act fast.
Not harmful,I enjoyed the movie all good.
Spam,Congratulations you won. Reply STOP to opt out.
Not harmful,Let's schedule a game night no rush.
Harmful,Payment failed update billing information. http://example-security-check.com.
Spam,Act now to claim. Limited stock.
Harmful,Invoice attached open to view. Failure to act may lead to suspension.
Not Spam,Where did you park before noon.
Not harmful,Meeting went well just a note.
Spam,Limited time offer. Only today.
Not harmful,This is a reminder to back up your files thanks.
Spam,Claim your FREE reward. Limited stock.
Not Spam,Family dinner tonight tomorrow.
Harmful,Security alert action required to keep access. http://short.co/verify.
Not harmful,Your package should arrive tomorrow no rush.
Harmful,Invoice attached open to view. Confirm within 24 hours.
Spam,Act now to claim. Call 0906 123 4567.
Spam,Congratulations you won. Act fast.
Not harmful,Coffee was great no rush.
Not harmful,Remember to water the plants no action needed.
Harmful,Password expired immediately verify your account. Failure to act may lead to suspension.
Spam,You are a lucky winner. Click http://bit.ly/win.
Not Spam,Lunch at 1 pm when you're free.
Not harmful,Meeting went well take care.
Spam,You have been selected. Reply STOP to opt out.
Not Spam,Family dinner tonight after work.
Not Spam,Family dinner tonight please.
Not Spam,Let’s catch up tomorrow thanks.
Not harmful,Remember to water the plants see you soon.
Harmful,Suspicious activity detected verify now. We will disable your account.
Not Spam,Where did you park at the library.
Not Spam,Where did you park at the cafe.
Spam,Congratulations you won. Only today.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Spam,Cheap meds available. Call 0906 123 4567.
Harmful,Suspicious activity detected verify now. Unusual activity detected.
Harmful,Delivery failed reschedule by confirming your info. http://short.co/verify.
Not Spam,Family dinner tonight at the cafe.
Not Spam,Where did you park in room 204.
Not Spam,Thanks for your help when you're free.
Harmful,Authentication issue follow this link to resolve. Open the attachment to proceed.
Spam,Exclusive offer just for you. 100% guaranteed.
Not Spam,Please review the document today.
Spam,Congratulations you won. 100% guaranteed.
Not harmful,This is a reminder to back up your files okay.
Harmful,Your account was locked click the link to unlock. http://example-security-check.com.
Not harmful,Remember to water the plants take care.
Not Spam,Let’s catch up tomorrow today.
Not harmful,I enjoyed the movie talk later.
Not harmful,The file has been saved talk later.
Not Spam,Where did you park today.
Spam,Claim your FREE reward. Reply STOP to opt out.
Spam,Act now to claim. No purchase necessary.
Harmful,Payment failed update billing information. This is an automated alert.
Not harmful,Meeting went well take care.
Harmful,Unrecognized sign in attempt confirm details. This is an automated alert.
Spam,Act now to claim. Click http://bit.ly/win.
Not harmful,Let's schedule a game night no rush.
Spam,You are a lucky winner. 100% guaranteed.
Not harmful,Remember to water the plants take care.
Not Spam,Hey are we still meeting at 3 in room 204.
Not Spam,Let’s catch up tomorrow today.
Harmful,Delivery failed reschedule by confirming your info. Confirm within 24 hours.
Harmful,Security alert action required to keep access. This is an automated alert.
Not Spam,Where did you park today.
Not harmful,The weather is nice today all good.
Harmful,Invoice attached open to view. Confirm within 24 hours.
Spam,You have been selected. 100% guaranteed.
Spam,You are a lucky winner. No purchase necessary.
Not Spam,Thanks for your help at the cafe.
Spam,Exclusive offer just for you. Terms apply.
Spam,You have been selected. No purchase necessary.
Not harmful,The weather is nice today take care.
Not harmful,Meeting went well okay.
Harmful,Password expired immediately verify your account. Do not share this code.
Spam,You have been selected. Terms apply.
Spam,URGENT call now. Click http://bit.ly/win.
Not harmful,The weather is nice today thanks.
Spam,URGENT call now. Click http://bit.ly/win.
Spam,You are a lucky winner. Call 0906 123 4567.
Not Spam,Please review the document thanks.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Spam,URGENT call now. Limited stock.
Not Spam,Let’s catch up tomorrow before noon.
Not Spam,Project status looks good in room 204.
Not harmful,The weather is nice today all good.
Not harmful,The weather is nice today no rush.
Spam,Exclusive offer just for you. Terms apply.
Not Spam,Project status looks good before noon.
Spam,Act now to claim. Click http://bit.ly/win.
Not harmful,Let's schedule a game night just a note.
Not Spam,Project status looks good please.
Not harmful,Coffee was great all good.
Not harmful,The weather is nice today just a note.
Spam,URGENT call now. Text WIN to 80055.
Not harmful,Remember to water the plants see you soon.
Not Spam,Can you send the notes please.
Harmful,Payment failed update billing information. http://short.co/verify.
Harmful,Suspicious activity detected verify now. Urgent response needed.
Not harmful,Meeting went well for your info.
Not harmful,Remember to water the plants for your info.
Not harmful,The file has been saved take care.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Harmful,Delivery failed reschedule by confirming your info. Do not share this code.
Spam,Congratulations you won. 100% guaranteed.
Harmful,Authentication issue follow this link to resolve. We will disable your account.
Harmful,Delivery failed reschedule by confirming your info. http://example-security-check.com.
Not Spam,On my way now before noon.
Harmful,Invoice attached open to view. We will disable your account.
Not Spam,Lunch at 1 pm at the library.
Not harmful,Your package should arrive tomorrow thanks.
Spam,You are a lucky winner. Only today.
Harmful,Tax refund available confirm bank details. http://example-security-check.com.
Spam,You are a lucky winner. Act fast.
Not Spam,Can you send the notes tomorrow.
Harmful,Delivery failed reschedule by confirming your info. We will disable your account.
Harmful,Password expired immediately verify your account. This is an automated alert.
Not harmful,Coffee was great take care.
Not harmful,The weather is nice today see you soon.
Harmful,Security alert action required to keep access. Confirm within 24 hours.
Not Spam,Family dinner tonight in room 204.
Harmful,Password expired immediately verify your account. Unusual activity detected.
Not Spam,Please review the document when you're free.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Harmful,Password expired immediately verify your account. Unusual activity detected.
Harmful,Authentication issue follow this link to resolve. http://example-security-check.com.
Not Spam,Hey are we still meeting at 3 today.
Not harmful,Let's schedule a game night see you soon.
Harmful,Tax refund available confirm bank details. http://short.co/verify.
Not Spam,Lunch at 1 pm in room 204.
Not Spam,Thanks for your help please.
Not Spam,Let’s catch up tomorrow at the cafe.
Not Spam,Where did you park after work.
Not Spam,Lunch at 1 pm at the cafe.
Not harmful,Remember to water the plants no action needed.
Not Spam,On my way now when you're free.
Not Spam,Can you send the notes at the cafe.
Not Spam,Project status looks good today.
Spam,You are a lucky winner. Limited stock.
Not Spam,Let’s catch up tomorrow in room 204.
Not harmful,I enjoyed the movie see you soon.
Not harmful,This is a reminder to back up your files just a note.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Not Spam,Let’s catch up tomorrow after work.
Not harmful,This is a reminder to back up your files talk later.
Harmful,Security alert action required to keep access. Do not share this code.
Harmful,Unrecognized sign in attempt confirm details. http://short.co/verify.
Not harmful,Let's schedule a game night for your info.
Not harmful,This is a reminder to back up your files no action needed.
Not Spam,Project status looks good please.
Spam,Congratulations you won. Terms apply.
Not harmful,Let's schedule a game night thanks.
Spam,Limited time offer. Click http://bit.ly/win.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not harmful,Meeting went well all good.
Not Spam,Lunch at 1 pm at the library.
Not Spam,Project status looks good tomorrow.
Not harmful,Remember to water the plants take care.
Harmful,Unrecognized sign in attempt confirm details. Urgent response needed.
Not Spam,Thanks for your help thanks.
Not Spam,Please review the document at the cafe.
Not harmful,I enjoyed the movie for your info.
Spam,Exclusive offer just for you. Only today.
Spam,Limited time offer. Act fast.
Not harmful,Coffee was great all good.
Not Spam,Where did you park thanks.
Harmful,Authentication issue follow this link to resolve. http://example-security-check.com.
Harmful,Invoice attached open to view. We will disable your account.
Not Spam,On my way now at the library.
Not harmful,Remember to water the plants no action needed.
Not harmful,Your package should arrive tomorrow just a note.
Not Spam,Please review the document in room 204.
Not Spam,On my way now tomorrow.
Not Spam,Please review the document before noon.
Not Spam,Lunch at 1 pm tomorrow.
Not harmful,Let's schedule a game night all good.
Not Spam,Lunch at 1 pm in room 204.
Not harmful,Dinner was delicious no rush.
Not Spam,Project status looks good tomorrow.
Not harmful,The file has been saved just a note.
Harmful,Security alert action required to keep access. Urgent response needed.
Harmful,Security alert action required to keep access. This is an automated alert.
Not Spam,Hey are we still meeting at 3 when you're free.
Spam,You have been selected. Reply STOP to opt out.
Harmful,Password expired immediately verify your account. http://short.co/verify.
Spam,Limited time offer. Text WIN to 80055.
Not harmful,Meeting went well all good.
Not harmful,Remember to water the plants talk later.
Not Spam,Lunch at 1 pm in room 204.
Not Spam,Let’s catch up tomorrow please.
Not harmful,Coffee was great take care.
Spam,URGENT call now. Reply STOP to opt out.
Spam,Limited time offer. 100% guaranteed.
Not Spam,Lunch at 1 pm at the library.
Harmful,Unrecognized sign in attempt confirm details. Confirm within 24 hours.
Not harmful,The file has been saved for your info.
Spam,You are a lucky winner. Terms apply.
Not harmful,This is a reminder to back up your files no action needed.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not Spam,Thanks for your help in room 204.
Not Spam,Can you send the notes at the cafe.
Not Spam,Where did you park in room 204.
Not Spam,Family dinner tonight please.
Not harmful,Meeting went well thanks.
Harmful,Authentication issue follow this link to resolve. Failure to act may lead to suspension.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Not harmful,The weather is nice today no rush.
Not Spam,Can you send the notes thanks.
Harmful,Unrecognized sign in attempt confirm details. Unusual activity detected.
Not Spam,Where did you park after work.
Harmful,Invoice attached open to view. We will disable your account.
Spam,URGENT call now. Reply STOP to opt out.
Not harmful,Let's schedule a game night for your info.
Not Spam,Let’s catch up tomorrow at the cafe.
Not harmful,Let's schedule a game night no action needed.
Harmful,Tax refund available confirm bank details. Failure to act may lead to suspension.
Not harmful,Meeting went well no rush.
Not Spam,Hey are we still meeting at 3 today.
Harmful,Suspicious activity detected verify now. http://short.co/verify.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Not harmful,The file has been saved all good.
Spam,You have been selected. Reply STOP to opt out.
Not Spam,Let’s catch up tomorrow in room 204.
Not Spam,Please review the document when you're free.
Not Spam,Can you send the notes at the library.
Not Spam,Project status looks good today.
Harmful,Delivery failed reschedule by confirming your info. Confirm within 24 hours.
Spam,You have been selected. Terms apply.
Not harmful,Remember to water the plants okay.
Not harmful,The weather is nice today no action needed.
Not Spam,Where did you park after work.
Spam,URGENT call now. Text WIN to 80055.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Harmful,Security alert action required to keep access. Open the attachment to proceed.
Not Spam,Family dinner tonight at the library.
Not harmful,Let's schedule a game night talk later.
Spam,You have been selected. Call 0906 123 4567.
Not harmful,Let's schedule a game night all good.
Not Spam,On my way now in room 204.
Not harmful,Coffee was great talk later.
Spam,Cheap meds available. Only today.
Not Spam,Let’s catch up tomorrow after work.
Harmful,Invoice attached open to view. http://short.co/verify.
Not Spam,Family dinner tonight tomorrow.
Spam,Act now to claim. No purchase necessary.
Not harmful,The weather is nice today talk later.
Not harmful,The file has been saved take care.
Spam,You have been selected. Terms apply.
Spam,WIN a prize now. 100% guaranteed.
Harmful,Tax refund available confirm bank details. http://example-security-check.com.
Not harmful,Coffee was great okay.
Spam,URGENT call now. Call 0906 123 4567.
Not Spam,Where did you park in room 204.
Not Spam,Can you send the notes please.
Not Spam,Thanks for your help thanks.
Harmful,Suspicious activity detected verify now. Unusual activity detected.
Not Spam,Let’s catch up tomorrow thanks.
Not Spam,On my way now after work.
Spam,Cheap meds available. Limited stock.
Spam,WIN a prize now. Act fast.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Not harmful,Meeting went well see you soon.
Spam,You have been selected. Terms apply.
Not harmful,Dinner was delicious take care.
Spam,You have been selected. Limited stock.
Spam,Congratulations you won. Reply STOP to opt out.
Not harmful,Remember to water the plants all good.
Not Spam,Please review the document today.
Not Spam,Project status looks good before noon.
Harmful,Suspicious activity detected verify now. http://example-security-check.com.
Not harmful,Remember to water the plants just a note.
Spam,You have been selected. No purchase necessary.
Not Spam,Let’s catch up tomorrow when you're free.
Spam,Congratulations you won. Limited stock.
Not harmful,Remember to water the plants no rush.
Harmful,Invoice attached open to view. Failure to act may lead to suspension.
Harmful,Authentication issue follow this link to resolve. http://short.co/verify.
Harmful,Delivery failed reschedule by confirming your info. http://short.co/verify.
Harmful,Security alert action required to keep access. Failure to act may lead to suspension.
Harmful,Delivery failed reschedule by confirming your info. Urgent response needed.
Not Spam,Hey are we still meeting at 3 at the library.
Spam,You are a lucky winner. Text WIN to 80055.
Not harmful,Meeting went well no rush.
Not harmful,Dinner was delicious no action needed.
Harmful,Password expired immediately verify your account. Open the attachment to proceed.
Not Spam,Hey are we still meeting at 3 tomorrow.
Spam,You have been selected. Only today.
Harmful,Delivery failed reschedule by confirming your info. Unusual activity detected.
Harmful,Tax refund available confirm bank details. We will disable your account.
Spam,You have been selected. No purchase necessary.
Harmful,Password expired immediately verify your account. Urgent response needed.
Harmful,Your account was locked click the link to unlock. Do not share this code.
Not Spam,Let’s catch up tomorrow at the library.
Not harmful,This is a reminder to back up your files no rush.
Harmful,Suspicious activity detected verify now. Failure to act may lead to suspension.
Not harmful,Dinner was delicious no action needed.
Spam,Exclusive offer just for you. Call 0906 123 4567.
Spam,Act now to claim. No purchase necessary.
Not Spam,On my way now at the cafe.
Spam,URGENT call now. Act fast.
Not harmful,Remember to water the plants take care.
Spam,URGENT call now. Limited stock.
Harmful,Invoice attached open to view. Unusual activity detected.
Harmful,Suspicious activity detected verify now. Unusual activity detected.
Spam,Exclusive offer just for you. Limited stock.
Harmful,Authentication issue follow this link to resolve. This is an automated alert.
Harmful,Password expired immediately verify your account. Do not share this code.
Not harmful,Coffee was great just a note.
Not Spam,Hey are we still meeting at 3 thanks.
Spam,Limited time offer. Call 0906 123 4567.
Harmful,Payment failed update billing information. Urgent response needed.
Not Spam,Can you send the notes at the cafe.
Not harmful,Your package should arrive tomorrow thanks.
Not Spam,Hey are we still meeting at 3 thanks.
Harmful,Delivery failed reschedule by confirming your info. Unusual activity detected.
Harmful,Your account was locked click the link to unlock. This is an automated alert.
Harmful,Unrecognized sign in attempt confirm details. Urgent response needed.
Spam,Limited time offer. Act fast.
Not Spam,Can you send the notes in room 204.
Not harmful,Let's schedule a game night take care.
Not harmful,I enjoyed the movie no action needed.
Not harmful,Meeting went well just a note.
Not harmful,Meeting went well for your info.
Not Spam,Family dinner tonight please.
Spam,You are a lucky winner. Limited stock.
Not harmful,The file has been saved see you soon.
Not harmful,Dinner was delicious no rush.
Harmful,Unrecognized sign in attempt confirm details. We will disable your account.
Not Spam,Thanks for your help please.
Harmful,Tax refund available confirm bank details. Failure to act may lead to suspension.
Spam,URGENT call now. Text WIN to 80055.
Harmful,Payment failed update billing information. Unusual activity detected.
Spam,Congratulations you won. Click http://bit.ly/win.
Not harmful,The file has been saved all good.
Not harmful,Your package should arrive tomorrow for your info.
Not harmful,Remember to water the plants talk later.
Not harmful,Coffee was great take care.
Spam,You are a lucky winner. Call 0906 123 4567.
Not harmful,Let's schedule a game night just a note.
Harmful,Unrecognized sign in attempt confirm details. http://short.co/verify.
Spam,Claim your FREE reward. No purchase necessary.
Not Spam,Thanks for your help tomorrow.
Harmful,Authentication issue follow this link to resolve. Failure to act may lead to suspension.
Harmful,Delivery failed reschedule by confirming your info. Confirm within 24 hours.
Spam,Act now to claim. No purchase necessary.
Spam,Cheap meds available. 100% guaranteed.
Not harmful,Let's schedule a game night no action needed.
Harmful,Authentication issue follow this link to resolve. Open the attachment to proceed.
Harmful,Security alert action required to keep access. http://example-security-check.com.
Harmful,Unrecognized sign in attempt confirm details. Confirm within 24 hours.
Spam,You are a lucky winner. Only today.
Harmful,Delivery failed reschedule by confirming your info. Confirm within 24 hours.
Spam,Congratulations you won. Act fast.
Harmful,Unrecognized sign in attempt confirm details. Confirm within 24 hours.
Not harmful,Let's schedule a game night take care.
Not harmful,The weather is nice today just a note.
Not harmful,Your package should arrive tomorrow okay.
Spam,Exclusive offer just for you. Only today.
Harmful,Invoice attached open to view. Do not share this code.
Harmful,Invoice attached open to view. http://short.co/verify.
Not harmful,Let's schedule a game night thanks.
Not harmful,This is a reminder to back up your files just a note.
Harmful,Password expired immediately verify your account. This is an automated alert.
Harmful,Suspicious activity detected verify now. Open the attachment to proceed.
Not harmful,Coffee was great for your info.
Not harmful,The file has been saved no action needed.
Not harmful,Coffee was great talk later.
Harmful,Payment failed update billing information. We will disable your account.
Spam,Congratulations you won. Reply STOP to opt out.
Not Spam,Can you send the notes please.
Spam,Claim your FREE reward. Only today.
Not harmful,I enjoyed the movie for your info.
Not Spam,On my way now at the library.
Harmful,Tax refund available confirm bank details. We will disable your account.
Harmful,Password expired immediately verify your account. Do not share this code.
Not Spam,Can you send the notes thanks.
Spam,URGENT call now. Only today.
Not harmful,Coffee was great take care.
Not harmful,The file has been saved talk later.
Spam,Cheap meds available. Act fast.
Spam,Act now to claim. Limited stock.
Not harmful,Coffee was great no rush.
Not harmful,Meeting went well just a note.
Not Spam,Family dinner tonight at the cafe.
Spam,URGENT call now. Only today.
Not harmful,The file has been saved okay.
Harmful,Invoice attached open to view. Urgent response needed.
Harmful,Your account was locked click the link to unlock. http://example-security-check.com.
Not Spam,Lunch at 1 pm at the cafe.
Spam,Exclusive offer just for you. Click http://bit.ly/win.
Spam,You are a lucky winner. Text WIN to 80055.
Not harmful,Your package should arrive tomorrow no action needed.
Not harmful,Remember to water the plants okay.
Not harmful,The weather is nice today talk later.
Not Spam,Where did you park in room 204.
Spam,Congratulations you won. Click http://bit.ly/win.
Harmful,Suspicious activity detected verify now. This is an automated alert.
Spam,Limited time offer. Terms apply.
Spam,Cheap meds available. 100% guaranteed.
Harmful,Delivery failed reschedule by confirming your info. Confirm within 24 hours.
Harmful,Password expired immediately verify your account. We will disable your account.
Not Spam,Please review the document today.
Not Spam,Can you send the notes thanks.
Not Spam,Thanks for your help tomorrow.
Spam,You are a lucky winner. Only today.
Not Spam,Thanks for your help at the library.
Harmful,Payment failed update billing information. Confirm within 24 hours.
Not harmful,The weather is nice today for your info.
Harmful,Tax refund available confirm bank details. Do not share this code.
Harmful,Authentication issue follow this link to resolve. This is an automated alert.
Not harmful,The file has been saved take care.
Spam,Claim your FREE reward. Reply STOP to opt out.
Spam,Limited time offer. Only today.
Spam,You are a lucky winner. Act fast.
Spam,Claim your FREE reward. Text WIN to 80055.
Not harmful,Your package should arrive tomorrow no action needed.
Not Spam,On my way now thanks.
Harmful,Invoice attached open to view. Open the attachment to proceed.
Spam,WIN a prize now. Only today.
Not Spam,Project status looks good in room 204.
Harmful,Security alert action required to keep access. Unusual activity detected.
Spam,WIN a prize now. 100% guaranteed.
Spam,You have been selected. No purchase necessary.
Harmful,Payment failed update billing information. Failure to act may lead to suspension.
Harmful,Delivery failed reschedule by confirming your info. http://short.co/verify.
Not harmful,Your package should arrive tomorrow all good.
Not Spam,Hey are we still meeting at 3 before noon.
Harmful,Invoice attached open to view. http://example-security-check.com.
Not Spam,Family dinner tonight thanks.
Harmful,Invoice attached open to view. Failure to act may lead to suspension.
Harmful,Authentication issue follow this link to resolve. http://short.co/verify.
Not harmful,This is a reminder to back up your files just a note.
Not Spam,Hey are we still meeting at 3 in room 204.
Spam,Exclusive offer just for you. No purchase necessary.
Spam,You have been selected. No purchase necessary.
Not harmful,Remember to water the plants no rush.
Not Spam,Family dinner tonight today.
Harmful,Suspicious activity detected verify now. Urgent response needed.
Not Spam,Where did you park when you're free.
Harmful,Tax refund available confirm bank details. Unusual activity detected.
Harmful,Unrecognized sign in attempt confirm details. http://short.co/verify.
Not Spam,Can you send the notes at the cafe.
Not Spam,Hey are we still meeting at 3 thanks.
Harmful,Suspicious activity detected verify now. Urgent response needed.
Not Spam,Where did you park before noon.
Spam,WIN a prize now. Call 0906 123 4567.
Spam,Claim your FREE reward. Act fast.
Not Spam,Please review the document in room 204.
Not Spam,Can you send the notes please.
Not harmful,I enjoyed the movie see you soon.
Not Spam,Hey are we still meeting at 3 tomorrow.
Spam,Congratulations you won. Text WIN to 80055.
Not Spam,Thanks for your help in room 204.
Harmful,Unrecognized sign in attempt confirm details. Failure to act may lead to suspension.
Not Spam,Thanks for your help before noon.
Not harmful,Let's schedule a game night talk later.
Spam,WIN a prize now. No purchase necessary.
Not Spam,Please review the document at the cafe.
Not Spam,Lunch at 1 pm thanks.
Spam,Claim your FREE reward. Text WIN to 80055.
Not harmful,Coffee was great just a note.
Harmful,Security alert action required to keep access. http://example-security-check.com.
Not harmful,The file has been saved thanks.
Not Spam,Lunch at 1 pm please.
Spam,URGENT call now. Call 0906 123 4567.
Harmful,Invoice attached open to view. Confirm within 24 hours.
Spam,Act now to claim. Call 0906 123 4567.
